timestamp,last_offset_s,rms_offset_s,frequency_ppm,system_time_s
2026-07-05T14:41:42.829,+0.000126680,0.000120620,-6.139,-0.000000041
2026-07-05T14:40:58.142,+0.000000000,0.000000000,-6.139,-0.000000000
2026-07-05T14:40:59.145,+0.000000000,0.000000000,-6.139,-0.000000000
2026-07-05T14:41:00.159,+0.000000000,0.000000000,-6.139,-0.000000000
2026-07-05T14:41:01.171,+0.000000000,0.000000000,-6.139,-0.000000000
2026-07-05T14:41:02.184,+0.000000000,0.000000000,-6.139,-0.000000000
2026-07-05T14:41:48.894,-45.694309235,45.694309235,-6.139,-0.000000000
2026-07-05T14:41:49.909,-45.694309235,45.694309235,-6.139,-0.000000000
2026-07-05T14:41:50.924,-0.000006295,0.000006295,-6.141,-0.000004843
2026-07-05T14:41:51.940,-0.000006295,0.000006295,-6.141,-0.000003110
2026-07-05T14:41:52.961,-0.000006295,0.000006295,-6.141,-0.000001367
2026-07-05T14:41:53.984,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:41:55.003,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:41:56.014,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:41:57.026,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:41:58.043,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:41:59.055,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:00.069,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:01.074,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:02.086,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:03.092,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:04.107,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:05.121,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:06.140,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:07.147,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:08.159,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:09.173,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:10.193,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:11.202,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:12.226,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:13.238,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:14.257,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:15.269,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:16.288,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:17.304,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:18.330,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:19.343,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:20.352,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:21.369,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:22.385,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:23.402,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:24.417,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:25.441,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:26.463,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:27.476,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:28.496,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:29.521,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:30.547,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:31.560,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:32.582,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:33.597,-0.000006295,0.000006295,-6.141,+0.000000012
2026-07-05T14:42:34.613,-0.000006295,0.000006295,-6.141,+0.000000011
2026-07-05T14:42:35.633,-0.000006295,0.000006295,-6.141,+0.000000011
2026-07-05T14:42:36.659,-0.000006295,0.000006295,-6.141,+0.000000011
2026-07-05T14:42:37.673,-0.000006295,0.000006295,-6.141,+0.000000011
2026-07-05T14:42:38.690,-0.000006295,0.000006295,-6.141,+0.000000011
2026-07-05T14:42:39.716,-0.000006295,0.000006295,-6.141,+0.000000011
2026-07-05T14:42:40.738,-0.000006295,0.000006295,-6.141,+0.000000011
2026-07-05T14:42:41.758,-0.000006295,0.000006295,-6.141,+0.000000011
