timestamp,last_offset_s,rms_offset_s,frequency_ppm,system_time_s
2026-07-05T14:41:43.246,+0.000030017,0.000538561,-6.221,+0.000000132
2026-07-05T14:42:44.245,+0.000000000,0.000000000,-6.221,-0.000000000
2026-07-05T14:42:45.257,+0.000000000,0.000000000,-6.221,-0.000000000
2026-07-05T14:42:46.273,+0.000000000,0.000000000,-6.221,-0.000000000
2026-07-05T14:42:47.282,+0.000000000,0.000000000,-6.221,-0.000000000
2026-07-05T14:42:48.304,+0.000000000,0.000000000,-6.221,-0.000000000
2026-07-05T14:42:49.317,+59.992992401,59.992992401,-6.221,+59.912071228
2026-07-05T14:42:50.326,+59.992992401,59.992992401,-6.221,+59.820205688
2026-07-05T14:42:51.337,+0.000041993,0.000041993,-6.221,+59.728183746
2026-07-05T14:42:52.352,+0.000041993,0.000041993,-6.221,+59.635990143
2026-07-05T14:42:53.364,+0.000041993,0.000041993,-6.221,+59.543865204
2026-07-05T14:42:54.380,+0.000041993,0.000041993,-6.221,+59.451557159
2026-07-05T14:42:55.390,+0.000041993,0.000041993,-6.221,+59.359989166
2026-07-05T14:42:56.397,+0.000041993,0.000041993,-6.221,+59.268165588
2026-07-05T14:42:57.413,+0.000041993,0.000041993,-6.221,+59.175914764
2026-07-05T14:42:58.423,+0.000041993,0.000041993,-6.221,+59.083972931
2026-07-05T14:42:59.442,+0.000041993,0.000041993,-6.221,+58.991390228
2026-07-05T14:43:00.453,+0.000041993,0.000041993,-6.221,+58.899517059
2026-07-05T14:43:01.462,+0.000041993,0.000041993,-6.221,+58.807727814
2026-07-05T14:43:02.476,+0.000041993,0.000041993,-6.221,+58.715438843
2026-07-05T14:43:03.493,+0.000041993,0.000041993,-6.221,+58.623161316
2026-07-05T14:43:04.512,+0.000041993,0.000041993,-6.221,+58.530509949
2026-07-05T14:43:05.527,+0.000041993,0.000041993,-6.221,+58.437976837
2026-07-05T14:43:06.546,+0.000041993,0.000041993,-6.221,+58.345748901
2026-07-05T14:43:07.556,+0.000041993,0.000041993,-6.221,+58.253719330
2026-07-05T14:43:08.568,+0.000041993,0.000041993,-6.221,+58.161785126
2026-07-05T14:43:09.584,+0.000041993,0.000041993,-6.221,+58.069404602
2026-07-05T14:43:10.595,+0.000041993,0.000041993,-6.221,+57.977523804
2026-07-05T14:43:11.604,+0.000041993,0.000041993,-6.221,+57.885795593
2026-07-05T14:43:12.613,+0.000041993,0.000041993,-6.221,+57.794075012
2026-07-05T14:43:13.629,+0.000041993,0.000041993,-6.221,+57.701679230
2026-07-05T14:43:14.646,+0.000041993,0.000041993,-6.221,+57.608913422
2026-07-05T14:43:15.660,+0.000041993,0.000041993,-6.221,+57.517246246
2026-07-05T14:43:16.665,+0.000041993,0.000041993,-6.221,+57.425891876
