timestamp,last_offset_s,rms_offset_s,frequency_ppm,system_time_s
2026-07-05T14:41:42.279,+0.000306694,0.001833129,-5.843,+0.000472756
2026-07-05T14:41:43.285,+0.000306694,0.001833129,-5.843,+0.000472406
2026-07-05T14:41:44.297,+0.000306694,0.001833129,-5.843,+0.000472055
2026-07-05T14:41:45.307,+0.000306694,0.001833129,-5.843,+0.000471704
2026-07-05T14:41:46.319,+0.000306694,0.001833129,-5.843,+0.000471352
2026-07-05T14:41:47.329,+0.000306694,0.001833129,-5.843,+0.000471002
2026-07-05T14:41:48.341,+0.000306694,0.001833129,-5.843,+0.000470651
2026-07-05T14:41:49.357,+0.000306694,0.001833129,-5.843,+0.000470299
2026-07-05T14:41:50.366,+0.000306694,0.001833129,-5.843,+0.000469947
2026-07-05T14:41:51.387,+0.000306694,0.001833129,-5.843,+0.000469593
2026-07-05T14:41:52.403,+0.000306694,0.001833129,-5.843,+0.000469241
2026-07-05T14:41:53.420,+0.000306694,0.001833129,-5.843,+0.000468888
2026-07-05T14:41:54.435,+0.000306694,0.001833129,-5.843,+0.000468535
2026-07-05T14:41:55.455,+0.000306694,0.001833129,-5.843,+0.000468182
2026-07-05T14:41:56.465,+0.000306694,0.001833129,-5.843,+0.000467832
2026-07-05T14:41:57.480,+0.000306694,0.001833129,-5.843,+0.000467479
2026-07-05T14:41:58.505,+0.000306694,0.001833129,-5.843,+0.000467124
2026-07-05T14:41:59.513,+0.000306694,0.001833129,-5.843,+0.000466774
2026-07-05T14:42:00.531,+0.000306694,0.001833129,-5.843,+0.000466421
2026-07-05T14:42:01.544,+0.000306694,0.001833129,-5.843,+0.000466069
2026-07-05T14:42:02.552,+0.000306694,0.001833129,-5.843,+0.000465719
2026-07-05T14:42:03.563,+0.000306694,0.001833129,-5.843,+0.000465368
2026-07-05T14:42:04.575,+0.000306694,0.001833129,-5.843,+0.000465017
2026-07-05T14:42:05.590,+0.000306694,0.001833129,-5.843,+0.000464665
2026-07-05T14:42:06.610,+0.000306694,0.001833129,-5.843,+0.000464310
2026-07-05T14:42:07.632,+0.000306694,0.001833129,-5.843,+0.000463957
2026-07-05T14:42:08.653,+0.000306694,0.001833129,-5.843,+0.000463602
2026-07-05T14:42:09.669,+0.000306694,0.001833129,-5.843,+0.000463250
2026-07-05T14:42:10.686,+0.000306694,0.001833129,-5.843,+0.000462897
2026-07-05T14:42:11.696,+0.000306694,0.001833129,-5.843,+0.000462546
2026-07-05T14:42:12.716,+0.000306694,0.001833129,-5.843,+0.000462192
2026-07-05T14:42:13.733,+0.000306694,0.001833129,-5.843,+0.000461840
2026-07-05T14:42:14.743,+0.000306694,0.001833129,-5.843,+0.000461489
2026-07-05T14:42:15.751,+0.000306694,0.001833129,-5.843,+0.000461140
2026-07-05T14:42:16.764,+0.000306694,0.001833129,-5.843,+0.000460788
2026-07-05T14:42:17.778,+0.000306694,0.001833129,-5.843,+0.000460436
2026-07-05T14:42:18.795,+0.000306694,0.001833129,-5.843,+0.000460082
2026-07-05T14:42:19.815,+0.000306694,0.001833129,-5.843,+0.000459729
2026-07-05T14:42:20.827,+0.000306694,0.001833129,-5.843,+0.000459378
2026-07-05T14:42:21.845,+0.000306694,0.001833129,-5.843,+0.000459025
2026-07-05T14:42:22.862,+0.000306694,0.001833129,-5.843,+0.000458671
2026-07-05T14:42:23.878,+0.000306694,0.001833129,-5.843,+0.000458318
2026-07-05T14:42:24.891,+0.000306694,0.001833129,-5.843,+0.000457968
2026-07-05T14:42:25.900,+0.000306694,0.001833129,-5.843,+0.000457617
2026-07-05T14:42:26.911,+0.000306694,0.001833129,-5.843,+0.000457266
2026-07-05T14:42:27.933,+0.000306694,0.001833129,-5.843,+0.000456910
2026-07-05T14:42:28.952,+0.000306694,0.001833129,-5.843,+0.000456558
2026-07-05T14:42:29.969,+0.000306694,0.001833129,-5.843,+0.000456205
2026-07-05T14:42:30.987,+0.000306694,0.001833129,-5.843,+0.000455851
2026-07-05T14:42:32.002,+0.000306694,0.001833129,-5.843,+0.000455500
2026-07-05T14:42:33.017,+0.000306694,0.001833129,-5.843,+0.000455148
2026-07-05T14:42:34.037,+0.000306694,0.001833129,-5.843,+0.000454794
2026-07-05T14:42:35.054,+0.000306694,0.001833129,-5.843,+0.000454441
2026-07-05T14:42:36.065,+0.000306694,0.001833129,-5.843,+0.000454090
2026-07-05T14:42:37.077,+0.000306694,0.001833129,-5.843,+0.000453739
2026-07-05T14:42:38.095,+0.000306694,0.001833129,-5.843,+0.000453385
2026-07-05T14:42:39.111,+0.000306694,0.001833129,-5.843,+0.000453033
2026-07-05T14:42:40.118,+0.000306694,0.001833129,-5.843,+0.000452684
2026-07-05T14:42:41.127,+0.000306694,0.001833129,-5.843,+0.000452333
2026-07-05T14:42:42.143,+0.000306694,0.001833129,-5.843,+0.000451982
2026-07-05T14:42:43.160,+0.000306694,0.001833129,-5.843,+0.000451628
2026-07-05T14:42:44.176,+0.000306694,0.001833129,-5.843,+0.000451276
2026-07-05T14:42:45.183,+0.000306694,0.001833129,-5.843,+0.000450926
2026-07-05T14:42:46.193,+0.000306694,0.001833129,-5.843,+0.000450575
